,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Date
321,constitucion,-35.3333,-72.4167,74,55.36,0,6.82,1619424299
322,east london,-33.0153,27.9116,38,78.8,0,3.44,1619424375
323,port antonio,18.18,-76.4612,78,78.8,20,5.75,1619424827
324,fukue,32.6881,128.8419,45,64.4,0,13.8,1619424538
325,novobirilyussy,56.9514,90.6661,86,42.46,100,5.68,1619424667
326,sao geraldo do araguaia,-6.4006,-48.555,97,72.36,100,0.67,1619424828
327,luderitz,-26.6481,15.1594,71,66.45,100,3.22,1619424460
328,mbini,1.574,9.6134,89,82.4,40,2.3,1619424828
329,conceicao da barra,-18.5933,-39.7322,96,70.45,100,3.98,1619424829
330,sao jose da coroa grande,-8.8978,-35.1478,77,77.92,55,5.48,1619424829
331,lyubymivka,46.8106,33.5686,45,56.16,34,10.56,1619424829
332,grand gaube,-20.0064,57.6608,81,80.01,98,10.0,1619424493
333,westport,41.1415,-73.3579,49,44.6,1,14.97,1619424295
334,oussouye,12.485,-16.5469,88,69.8,0,6.91,1619424830
335,shelburne,44.0787,-80.2041,74,32.0,53,7.45,1619424586
336,dingle,10.9995,122.6711,65,84.52,64,9.46,1619424337
337,adet,11.2644,37.4888,70,61.65,100,3.49,1619424831
338,kongwa,-6.2,36.4167,83,70.59,98,2.57,1619424831
339,rio grande city,26.3798,-98.8203,85,73.99,100,1.01,1619424832
340,rio rancho,35.2334,-106.6645,14,62.01,99,1.99,1619424832
341,sajanan,37.0573,9.2426,43,71.6,20,8.05,1619424832
342,washington,47.5001,-120.5015,77,42.01,35,3.0,1619424833
343,togur,58.3631,82.8265,78,48.65,100,8.39,1619424833
344,mount gambier,-37.8333,140.7667,72,59.0,90,8.05,1619424365
345,vila velha,-20.3297,-40.2925,88,73.4,0,5.75,1619424287
346,mbandaka,0.0487,18.2603,78,78.8,89,6.2,1619424834
347,isla mujeres,21.2311,-86.731,88,80.01,20,5.75,1619424834
348,swan hill,-35.3378,143.5544,44,61.05,0,7.4,1619424835
349,narsaq,60.9167,-46.05,37,48.2,75,27.63,1619424308
350,uchaly,54.2996,59.4521,36,47.35,21,17.96,1619424835
351,inta,66.0317,60.1659,61,47.26,99,17.43,1619424835
352,sinazongwe,-17.2614,27.4618,68,74.57,64,3.89,1619424836
353,genhe,50.7833,121.5167,57,55.62,100,10.18,1619424836
354,sfantu gheorghe,45.8667,25.7833,71,30.99,97,10.51,1619424837
355,goderich,43.7501,-81.7165,86,24.8,79,4.61,1619424361
356,formosa,-26.1775,-58.1781,94,55.4,0,4.61,1619424837
357,doha,25.2867,51.5333,17,102.2,94,9.22,1619424838
358,kungurtug,50.5994,97.5228,64,34.7,100,10.8,1619424391
359,wegrow,52.3995,22.0163,53,44.01,67,11.41,1619424839
360,quatre cocos,-20.2078,57.7625,83,80.01,75,13.8,1619424359
361,masaka,-0.3338,31.7341,78,68.2,100,4.27,1619424839
362,mandaguacu,-23.3472,-52.0953,96,57.15,29,4.9,1619424840
363,ostrovnoy,68.0531,39.5131,90,31.6,100,23.02,1619424430
364,pulandian,39.3953,121.9669,47,59.0,0,8.95,1619424840
365,tyrma,50.0833,132.1667,23,57.2,97,5.53,1619424841
366,formiga,-20.4644,-45.4264,63,57.63,15,2.62,1619424841
